imgNo, keypointType, descriptorType, number of keypoints, number of mached points, time for keypoints, time for descriptor
1,SHITOMASI,BRISK,118,95,19.346512,2.649843
2,SHITOMASI,BRISK,123,88,18.790237,2.736427
3,SHITOMASI,BRISK,120,80,19.068136,3.244915
4,SHITOMASI,BRISK,120,90,18.137742,2.494443
5,SHITOMASI,BRISK,113,82,29.557697,2.586431
6,SHITOMASI,BRISK,114,79,17.991030,2.494267
7,SHITOMASI,BRISK,123,85,18.637259,2.594756
8,SHITOMASI,BRISK,111,86,17.729630,2.503216
9,SHITOMASI,BRISK,112,82,17.620128,2.512832
1,SHITOMASI,FREAK,118,86,17.949580,47.043004
2,SHITOMASI,FREAK,123,90,12.277682,47.327764
3,SHITOMASI,FREAK,120,86,12.003938,50.640075
4,SHITOMASI,FREAK,120,88,16.741239,47.808422
5,SHITOMASI,FREAK,113,86,16.256264,61.527516
6,SHITOMASI,FREAK,114,80,12.105331,54.909052
7,SHITOMASI,FREAK,123,81,11.920796,47.527283
8,SHITOMASI,FREAK,111,86,11.836124,47.196042
9,SHITOMASI,FREAK,112,85,12.051147,47.327768
1,SHITOMASI,BRIEF,118,115,12.307698,0.751028
2,SHITOMASI,BRIEF,123,111,12.621177,0.620353
3,SHITOMASI,BRIEF,120,104,13.279833,0.597490
4,SHITOMASI,BRIEF,120,101,12.122188,0.686470
5,SHITOMASI,BRIEF,113,102,14.269524,0.766655
6,SHITOMASI,BRIEF,114,102,13.169026,0.586051
7,SHITOMASI,BRIEF,123,100,12.900379,0.998440
8,SHITOMASI,BRIEF,111,109,12.540756,0.571422
9,SHITOMASI,BRIEF,112,100,13.037093,0.875471
1,SHITOMASI,SIFT,118,112,12.921648,19.667011
2,SHITOMASI,SIFT,123,109,13.020827,16.950127
3,SHITOMASI,SIFT,120,104,19.121084,18.113565
4,SHITOMASI,SIFT,120,103,12.871025,19.553852
5,SHITOMASI,SIFT,113,99,18.855860,17.107776
6,SHITOMASI,SIFT,114,101,12.374014,22.214195
7,SHITOMASI,SIFT,123,96,12.601925,17.653120
8,SHITOMASI,SIFT,111,106,11.887027,19.167322
9,SHITOMASI,SIFT,112,97,19.109812,17.183326
1,SHITOMASI,ORB,118,106,13.367131,0.978756
2,SHITOMASI,ORB,123,102,12.234861,1.104104
3,SHITOMASI,ORB,120,99,12.224927,0.948881
4,SHITOMASI,ORB,120,102,11.612650,0.916988
5,SHITOMASI,ORB,113,103,12.484548,0.924133
6,SHITOMASI,ORB,114,97,11.526405,0.943891
7,SHITOMASI,ORB,123,98,13.282493,1.428652
8,SHITOMASI,ORB,111,104,15.460289,1.415137
9,SHITOMASI,ORB,112,97,14.678312,0.948467
1,SIFT,BRISK,132,64,149.408830,1.740370
2,SIFT,BRISK,124,66,185.398051,1.656279
3,SIFT,BRISK,137,62,167.560762,1.755357
4,SIFT,BRISK,134,66,165.890318,1.725301
5,SIFT,BRISK,140,59,163.749347,1.821710
6,SIFT,BRISK,137,64,168.156884,1.924991
7,SIFT,BRISK,148,64,169.044415,1.907864
8,SIFT,BRISK,159,67,183.669932,2.061182
9,SIFT,BRISK,137,80,175.216205,2.875733
1,SIFT,FREAK,132,65,178.024160,47.156836
2,SIFT,FREAK,124,72,203.836282,47.885867
3,SIFT,FREAK,137,64,169.736169,47.667179
4,SIFT,FREAK,134,66,170.526501,51.132190
5,SIFT,FREAK,140,59,166.298279,47.021202
6,SIFT,FREAK,137,59,179.723705,50.277783
7,SIFT,FREAK,148,64,205.956021,61.531589
8,SIFT,FREAK,159,65,199.608498,48.932090
9,SIFT,FREAK,137,79,196.185394,49.522045
1,SIFT,BRIEF,132,86,167.336653,1.156539
2,SIFT,BRIEF,124,78,170.742438,0.747791
3,SIFT,BRIEF,137,76,162.461753,0.778181
4,SIFT,BRIEF,134,85,174.516306,0.756521
5,SIFT,BRIEF,140,69,165.259579,0.788931
6,SIFT,BRIEF,137,74,178.524910,0.807378
7,SIFT,BRIEF,148,76,175.355931,0.815769
8,SIFT,BRIEF,159,70,206.602742,1.342236
9,SIFT,BRIEF,137,88,209.043746,0.814518
1,SIFT,SIFT,132,82,236.613820,169.126358
2,SIFT,SIFT,124,81,183.123867,94.443518
3,SIFT,SIFT,137,85,124.445277,82.526146
4,SIFT,SIFT,134,93,128.365884,79.868947
5,SIFT,SIFT,140,90,122.935382,90.585385
6,SIFT,SIFT,137,81,136.709109,91.023605
7,SIFT,SIFT,148,82,128.854144,90.106497
8,SIFT,SIFT,159,102,186.044919,95.300556
9,SIFT,SIFT,137,104,125.918317,86.258256
1,HARRIS,BRISK,14,12,14.607897,0.505051
2,HARRIS,BRISK,18,10,13.393959,0.548508
3,HARRIS,BRISK,21,14,12.975523,0.570280
4,HARRIS,BRISK,26,15,15.286325,0.642121
5,HARRIS,BRISK,43,16,31.836488,0.829229
6,HARRIS,BRISK,18,16,13.161324,0.517375
7,HARRIS,BRISK,31,15,17.243061,0.895261
8,HARRIS,BRISK,26,23,18.949511,0.609459
9,HARRIS,BRISK,34,21,20.476081,0.736718
1,HARRIS,FREAK,14,13,12.857532,46.628283
2,HARRIS,FREAK,18,13,15.728664,47.222291
3,HARRIS,FREAK,21,15,13.110599,46.693823
4,HARRIS,FREAK,26,15,19.174236,63.608339
5,HARRIS,FREAK,43,17,29.574809,57.425760
6,HARRIS,FREAK,18,20,17.771750,73.423094
7,HARRIS,FREAK,31,12,30.446654,64.322746
8,HARRIS,FREAK,26,21,15.315639,55.719960
9,HARRIS,FREAK,34,18,19.572832,51.386814
1,HARRIS,BRIEF,14,14,12.206616,0.299613
2,HARRIS,BRIEF,18,11,16.584760,0.359446
3,HARRIS,BRIEF,21,15,13.181730,0.324958
4,HARRIS,BRIEF,26,20,14.306253,0.324017
5,HARRIS,BRIEF,43,24,28.710105,0.485907
6,HARRIS,BRIEF,18,26,12.486356,0.337307
7,HARRIS,BRIEF,31,16,15.721955,0.451799
8,HARRIS,BRIEF,26,24,15.258401,0.384796
9,HARRIS,BRIEF,34,23,20.247106,0.450478
1,HARRIS,SIFT,14,14,14.498845,15.112265
2,HARRIS,SIFT,18,11,12.532666,16.146323
3,HARRIS,SIFT,21,16,19.606814,16.281825
4,HARRIS,SIFT,26,19,13.848607,18.340260
5,HARRIS,SIFT,43,22,36.648220,16.910630
6,HARRIS,SIFT,18,22,12.550068,13.763692
7,HARRIS,SIFT,31,13,16.558644,15.990179
8,HARRIS,SIFT,26,24,13.257500,16.579597
9,HARRIS,SIFT,34,22,28.082375,15.921706
1,HARRIS,ORB,14,12,14.745227,0.763862
2,HARRIS,ORB,18,12,13.556061,0.840542
3,HARRIS,ORB,21,15,14.149098,0.852241
4,HARRIS,ORB,26,18,13.860194,0.976217
5,HARRIS,ORB,43,24,30.632315,0.862681
6,HARRIS,ORB,18,20,13.236677,0.843736
7,HARRIS,ORB,31,15,16.185828,0.849791
8,HARRIS,ORB,26,24,14.743028,0.798526
9,HARRIS,ORB,34,22,19.950968,0.851104
1,FAST,BRISK,427,256,2.449717,7.730351
2,FAST,BRISK,404,243,4.495684,4.683892
3,FAST,BRISK,423,241,1.847378,4.824735
4,FAST,BRISK,386,239,1.938243,4.674027
5,FAST,BRISK,414,215,3.139757,4.729731
6,FAST,BRISK,418,251,1.933746,4.966599
